id,school_name,deviation,category,category_ja
412,秀明英光高校（特別進学）,45,PRIVATE,私立
413,秀明英光高校（総合進学）,41,PRIVATE,私立
414,開成（普通）,74,PRIVATE,私立
416,渋谷教育学園幕張（普通）,73,PRIVATE,私立
418,慶應義塾女子（普通）,72,PRIVATE,私立
420,慶應義塾志木（普通）,71,PRIVATE,私立
421,早稲田大学本庄学院（普通）,71,PRIVATE,私立
422,市川（普通）,71,PRIVATE,私立
423,慶應義塾（普通）,71,PRIVATE,私立
424,早稲田実業（普通）,71,PRIVATE,私立
426,佐野日大（α）,71,PRIVATE,私立
427,明大付明治（普通）,70,PRIVATE,私立
428,早稲田大学高等学院（普通）,70,PRIVATE,私立
429,佐野日大（特進A）,70,PRIVATE,私立
430,立教新座（普通）,69,PRIVATE,私立
431,青山学院（普通）,69,PRIVATE,私立
432,国際基督教大（普通）,69,PRIVATE,私立
433,専修大松戸（普通:E類型）,69,PRIVATE,私立
434,巣鴨（普通）,68,PRIVATE,私立
435,中央大学（普通）,68,PRIVATE,私立
436,法政大国際（普通）,68,PRIVATE,私立
437,佐野日大（特進B）,68,PRIVATE,私立
438,城北（普通）,67,PRIVATE,私立
439,専修大松戸（普通:A類型）,67,PRIVATE,私立
440,中央大杉並（普通）,67,PRIVATE,私立
441,中央大附（普通）,67,PRIVATE,私立
442,明大付中野（普通）,66,PRIVATE,私立
443,芝浦工大柏（普通）,66,PRIVATE,私立
444,明大付八王子（普通）,66,PRIVATE,私立
445,法政大学（普通）,65,PRIVATE,私立
446,國學院栃木（特別選抜S）,65,PRIVATE,私立
450,白鴎大足利（特別進学）,62,PRIVATE,私立
452,佐野日大（スーパー進学）,60,PRIVATE,私立
453,國學院栃木（特別選抜）,59,PRIVATE,私立
454,青山学院大学系属浦和ルーテル学院（普通 ※単願のみ）,58,PRIVATE,私立
456,國學院栃木（選抜）,56,PRIVATE,私立
457,佐野日大（N進学）,55,PRIVATE,私立
458,白鴎大足利（進学）,54,PRIVATE,私立
459,國學院栃木（文理）,52,PRIVATE,私立
460,関東学園大附属（特進）,52,PRIVATE,私立
461,白鴎大足利（総合進学）,49,PRIVATE,私立
462,足利大学附属（普通）,44,PRIVATE,私立
463,関東学園大附属（進学）,44,PRIVATE,私立
464,足利大学附属（情報処理）,43,PRIVATE,私立
465,足利大学附属（自動車）,41,PRIVATE,私立
466,足利大学附属（工業）,40,PRIVATE,私立
467,佐野清澄（普通）,39,PRIVATE,私立
468,佐野清澄（生活デザイン）,39,PRIVATE,私立
469,青藍泰斗（普通）,39,PRIVATE,私立
